owner,name,url,domain,visibility,language,stars,description
onegayunicorn,echo-dot-twe-quantum,https://github.com/onegayunicorn/echo-dot-twe-quantum,quantum,public,,0,
onegayunicorn,EngineAI-T800,https://github.com/onegayunicorn/EngineAI-T800,ai-chat-llm,private/unknown,,0,
onegayunicorn,entangled-dashboard,https://github.com/onegayunicorn/entangled-dashboard,quantum,private/unknown,,0,
onegayunicorn,entropy-bound,https://github.com/onegayunicorn/entropy-bound,misc,private/unknown,,0,
onegayunicorn,Epic-Matter-Explorer,https://github.com/onegayunicorn/Epic-Matter-Explorer,misc,public,Kotlin,0,Epic Matter Explorer
onegayunicorn,epicdevs,https://github.com/onegayunicorn/epicdevs,misc,public,TypeScript,0,epicdevs
onegayunicorn,Escrow,https://github.com/onegayunicorn/Escrow,escrow-payments,private/unknown,,0,
onegayunicorn,Escrow-orch,https://github.com/onegayunicorn/Escrow-orch,escrow-payments,public,TypeScript,0,Escrow-orch
onegayunicorn,Expo_builder,https://github.com/onegayunicorn/Expo_builder,dashboard-ui,public,,0,Expo_builder
onegayunicorn,FamousAI,https://github.com/onegayunicorn/FamousAI,ai-chat-llm,private/unknown,,0,
onegayunicorn,FinancialMiningSystem,https://github.com/onegayunicorn/FinancialMiningSystem,escrow-payments,private/unknown,,0,
onegayunicorn,Financial_Applications,https://github.com/onegayunicorn/Financial_Applications,escrow-payments,private/unknown,,0,
onegayunicorn,futuristic-dashboard,https://github.com/onegayunicorn/futuristic-dashboard,dashboard-ui,private/unknown,,0,
onegayunicorn,Gaya-ecosystem-,https://github.com/onegayunicorn/Gaya-ecosystem-,escrow-payments,private/unknown,,0,
onegayunicorn,gaya-wallet,https://github.com/onegayunicorn/gaya-wallet,escrow-payments,private/unknown,,0,
onegayunicorn,gemma-ai-laptop,https://github.com/onegayunicorn/gemma-ai-laptop,ai-chat-llm,private/unknown,,0,
onegayunicorn,Gemma-Quantum-Agent,https://github.com/onegayunicorn/Gemma-Quantum-Agent,quantum,public,TypeScript,0,Gemma-Quantum-Agent
onegayunicorn,genesis-2.4-master,https://github.com/onegayunicorn/genesis-2.4-master,genesis-cure,private/unknown,,0,
onegayunicorn,genesis-code,https://github.com/onegayunicorn/genesis-code,genesis-cure,private/unknown,,0,
onegayunicorn,Genesis-cure-,https://github.com/onegayunicorn/Genesis-cure-,genesis-cure,public,TypeScript,0,Genesis cure 
onegayunicorn,Genesis-Cure-Foundation,https://github.com/onegayunicorn/Genesis-Cure-Foundation,genesis-cure,public,TypeScript,0,Genesis Cure Foundation
onegayunicorn,genesis-cure-monorepo,https://github.com/onegayunicorn/genesis-cure-monorepo,genesis-cure,private/unknown,,0,
onegayunicorn,genesis-cure-platform-monorepo,https://github.com/onegayunicorn/genesis-cure-platform-monorepo,genesis-cure,private/unknown,,0,
onegayunicorn,genesis-cures-monorepo,https://github.com/onegayunicorn/genesis-cures-monorepo,genesis-cure,private/unknown,,0,
onegayunicorn,genesis-platform,https://github.com/onegayunicorn/genesis-platform,genesis-cure,private/unknown,,0,
onegayunicorn,GenesisMesh,https://github.com/onegayunicorn/GenesisMesh,genesis-cure,private/unknown,,0,
onegayunicorn,Geometry-engine-,https://github.com/onegayunicorn/Geometry-engine-,misc,private/unknown,,0,
onegayunicorn,Giga_nexus,https://github.com/onegayunicorn/Giga_nexus,ai-chat-llm,private/unknown,,0,
onegayunicorn,googl,https://github.com/onegayunicorn/googl,misc,private/unknown,,0,
onegayunicorn,GPT-Anchor-Orchestrator,https://github.com/onegayunicorn/GPT-Anchor-Orchestrator,orchestrator-agent,public,TypeScript,0,GPT-Anchor-Orchestrator
onegayunicorn,hix-ai-app,https://github.com/onegayunicorn/hix-ai-app,dashboard-ui,public,Python,0,
onegayunicorn,Home-gigaminer,https://github.com/onegayunicorn/Home-gigaminer,misc,private/unknown,,0,
onegayunicorn,Hyperfusion-Wealth-Bridge,https://github.com/onegayunicorn/Hyperfusion-Wealth-Bridge,mesh-network,public,TypeScript,0,Hyperfusion-Wealth-Bridge
onegayunicorn,hyperfusion_wealth_bridge,https://github.com/onegayunicorn/hyperfusion_wealth_bridge,mesh-network,private/unknown,,0,
onegayunicorn,integration-handbook,https://github.com/onegayunicorn/integration-handbook,misc,private/unknown,,0,
onegayunicorn,invisible-pressure-,https://github.com/onegayunicorn/invisible-pressure-,misc,public,TypeScript,0,invisible-pressure
onegayunicorn,invisible-pressure-platform,https://github.com/onegayunicorn/invisible-pressure-platform,misc,public,,0,"Invisible Pressure / DUP technology platform: 131-capability Cloudflare spec, simulation stack (DUP physics, galaxy rota"
onegayunicorn,Invisible-pressure-theory,https://github.com/onegayunicorn/Invisible-pressure-theory,misc,public,TypeScript,0,Invisible-pressure-theory
onegayunicorn,ionclaw-devduo-platform,https://github.com/onegayunicorn/ionclaw-devduo-platform,misc,public,JavaScript,0,
onegayunicorn,IpAI-Ecosystem,https://github.com/onegayunicorn/IpAI-Ecosystem,ai-chat-llm,private/unknown,,0,
onegayunicorn,IpAI-Ecosystem-Copy,https://github.com/onegayunicorn/IpAI-Ecosystem-Copy,ai-chat-llm,private/unknown,,0,
onegayunicorn,IPT-Suite-,https://github.com/onegayunicorn/IPT-Suite-,dashboard-ui,private/unknown,,0,
onegayunicorn,J.A.R.V.I.S,https://github.com/onegayunicorn/J.A.R.V.I.S,misc,private/unknown,,0,
onegayunicorn,jetbrains-toolbox,https://github.com/onegayunicorn/jetbrains-toolbox,bci-neuro,public,,0,jetbrains-toolbox
onegayunicorn,Joystick-Stick-Drift-Corrector,https://github.com/onegayunicorn/Joystick-Stick-Drift-Corrector,misc,public,TypeScript,0,Joystick-Stick-Drift-Corrector
onegayunicorn,jrtech-ecosystem,https://github.com/onegayunicorn/jrtech-ecosystem,misc,public,,0,jrtech-ecosystem
onegayunicorn,Kaleidoscope-algorithm,https://github.com/onegayunicorn/Kaleidoscope-algorithm,genesis-cure,private/unknown,,0,
onegayunicorn,KCD2-AI,https://github.com/onegayunicorn/KCD2-AI,ai-chat-llm,public,Kotlin,0,KCD2-AI
onegayunicorn,kimi-agent-monorepo,https://github.com/onegayunicorn/kimi-agent-monorepo,orchestrator-agent,private/unknown,,0,
onegayunicorn,Kimi_Agent,https://github.com/onegayunicorn/Kimi_Agent,orchestrator-agent,private/unknown,,0,
onegayunicorn,Kimi_Agent_10-Year_Quantum_Evolution_Simulation,https://github.com/onegayunicorn/Kimi_Agent_10-Year_Quantum_Evolution_Simulation,quantum,private/unknown,,0,
onegayunicorn,Kimi_Agent_BotFree_Dark_Web_Bot,https://github.com/onegayunicorn/Kimi_Agent_BotFree_Dark_Web_Bot,dashboard-ui,private/unknown,,0,
onegayunicorn,Kimi_Agent_Deployment_KIMI_CLAW_Orchestrator_v1,https://github.com/onegayunicorn/Kimi_Agent_Deployment_KIMI_CLAW_Orchestrator_v1,orchestrator-agent,private/unknown,,0,
onegayunicorn,Kimi_Agent_Deployment_KIMI_CLAW_RAG_Orchestrator_Deployment_v1,https://github.com/onegayunicorn/Kimi_Agent_Deployment_KIMI_CLAW_RAG_Orchestrator_Deployment_v1,orchestrator-agent,private/unknown,,0,
onegayunicorn,Kimi_Agent_Deployment_Quantum_Agent_Swarm_Simulation_v1,https://github.com/onegayunicorn/Kimi_Agent_Deployment_Quantum_Agent_Swarm_Simulation_v1,quantum,private/unknown,,0,
onegayunicorn,Kimi_Agent_GenAI,https://github.com/onegayunicorn/Kimi_Agent_GenAI,orchestrator-agent,private/unknown,,0,
onegayunicorn,Kimi_Agent_KIMI_CLAW_Orchestrator,https://github.com/onegayunicorn/Kimi_Agent_KIMI_CLAW_Orchestrator,orchestrator-agent,private/unknown,,0,
onegayunicorn,Kimi_Agent_Quantum-Agent-Repo-Setup,https://github.com/onegayunicorn/Kimi_Agent_Quantum-Agent-Repo-Setup,quantum,private/unknown,,0,
onegayunicorn,Kimi_Agent_Quantum-Agent-Swarm-Simulation,https://github.com/onegayunicorn/Kimi_Agent_Quantum-Agent-Swarm-Simulation,quantum,private/unknown,,0,
onegayunicorn,Kimi_Agent_Quantum-Weather-Control,https://github.com/onegayunicorn/Kimi_Agent_Quantum-Weather-Control,quantum,private/unknown,,0,
onegayunicorn,Kyrexis-,https://github.com/onegayunicorn/Kyrexis-,misc,private/unknown,,0,
onegayunicorn,launch-verification-dashboard,https://github.com/onegayunicorn/launch-verification-dashboard,dashboard-ui,private/unknown,,0,
onegayunicorn,lineage-bridge,https://github.com/onegayunicorn/lineage-bridge,genesis-cure,private/unknown,,0,
onegayunicorn,local_sever_dashboards,https://github.com/onegayunicorn/local_sever_dashboards,dashboard-ui,private/unknown,,0,
onegayunicorn,lumen-ai-chat,https://github.com/onegayunicorn/lumen-ai-chat,ai-chat-llm,private/unknown,,0,
onegayunicorn,lumen-ai-chat-mobile,https://github.com/onegayunicorn/lumen-ai-chat-mobile,dashboard-ui,private/unknown,,0,
onegayunicorn,lux-array-ecosystem,https://github.com/onegayunicorn/lux-array-ecosystem,misc,public,,0,
onegayunicorn,Lux-connect-BCI,https://github.com/onegayunicorn/Lux-connect-BCI,bci-neuro,private/unknown,,0,
onegayunicorn,Macro-Cosmic,https://github.com/onegayunicorn/Macro-Cosmic,misc,private/unknown,,0,
onegayunicorn,manus-flutter-repo,https://github.com/onegayunicorn/manus-flutter-repo,dashboard-ui,private/unknown,,0,
onegayunicorn,Mars_Colonization_Initiative,https://github.com/onegayunicorn/Mars_Colonization_Initiative,misc,public,TeX,0,"Comprehensive repository for the Mars Colonization Initiative, including research, design, and technical frameworks."
onegayunicorn,Megachain,https://github.com/onegayunicorn/Megachain,ai-chat-llm,private/unknown,,0,
onegayunicorn,Megachain-,https://github.com/onegayunicorn/Megachain-,ai-chat-llm,private/unknown,,0,
onegayunicorn,Meli-deploy-Github-Action,https://github.com/onegayunicorn/Meli-deploy-Github-Action,mesh-network,public,,0,Meli-deploy-Github-Action
onegayunicorn,Mesh,https://github.com/onegayunicorn/Mesh,mesh-network,private/unknown,,0,
onegayunicorn,Microphone-,https://github.com/onegayunicorn/Microphone-,misc,private/unknown,,0,
onegayunicorn,mobile-app-packager,https://github.com/onegayunicorn/mobile-app-packager,dashboard-ui,private/unknown,,0,
onegayunicorn,mocking-jay-app,https://github.com/onegayunicorn/mocking-jay-app,dashboard-ui,public,,0,"☆ Mocking Jay Multi-Platform App — Web (Next.js), Mobile (React Native), Desktop (Tauri)"
onegayunicorn,mocking-jay-core,https://github.com/onegayunicorn/mocking-jay-core,misc,public,,0,☆ Mocking Jay Quantum Core — 1024 Qubit Digital Twin Engine with Merkle Truth Ledger
onegayunicorn,mocking-jay-ml,https://github.com/onegayunicorn/mocking-jay-ml,misc,public,,0,☆ Mocking Jay ML — HuggingFace Model Pipelines for Quantum/Photonic/Merkle Inference
onegayunicorn,MoodChromaPortable,https://github.com/onegayunicorn/MoodChromaPortable,misc,public,,0,MoodChromaPortable a BCI free public project 
onegayunicorn,moto-g35-driver-framework,https://github.com/onegayunicorn/moto-g35-driver-framework,hardware-drivers,private/unknown,,0,
onegayunicorn,moto-g35-omni-node-docs,https://github.com/onegayunicorn/moto-g35-omni-node-docs,mesh-network,private/unknown,,0,
onegayunicorn,moto-g35-orchestrator-robot,https://github.com/onegayunicorn/moto-g35-orchestrator-robot,hardware-drivers,public,Python,0,"Open-source project to transform the Moto G35 into a cross-device orchestrator robot with real memory, intelligent sensi"
onegayunicorn,moto-g35-system-sim,https://github.com/onegayunicorn/moto-g35-system-sim,hardware-drivers,private/unknown,,0,
onegayunicorn,MU-MP,https://github.com/onegayunicorn/MU-MP,misc,private/unknown,,0,
onegayunicorn,Mubits,https://github.com/onegayunicorn/Mubits,escrow-payments,private/unknown,,0,
onegayunicorn,MVP,https://github.com/onegayunicorn/MVP,misc,public,Rust,0,MVP
onegayunicorn,My-account-entangler,https://github.com/onegayunicorn/My-account-entangler,quantum,public,,0,"My Account Entangler is a conceptual framework and documentation‑only repository designed to explore secure, ethical, an"
onegayunicorn,My-twins,https://github.com/onegayunicorn/My-twins,misc,public,TypeScript,0,My-twins
onegayunicorn,nanobee_implementation,https://github.com/onegayunicorn/nanobee_implementation,misc,private/unknown,,0,
onegayunicorn,Native-hub,https://github.com/onegayunicorn/Native-hub,mesh-network,private/unknown,,0,
onegayunicorn,Neon-forge,https://github.com/onegayunicorn/Neon-forge,misc,private/unknown,,0,
onegayunicorn,Neural-Flipbook,https://github.com/onegayunicorn/Neural-Flipbook,bci-neuro,private/unknown,,0,
onegayunicorn,Neurosecure-Stack-DP-Integration,https://github.com/onegayunicorn/Neurosecure-Stack-DP-Integration,genesis-cure,private/unknown,,0,
onegayunicorn,neurosys-framework,https://github.com/onegayunicorn/neurosys-framework,bci-neuro,public,HTML,0,
onegayunicorn,neurosys_mobile_app,https://github.com/onegayunicorn/neurosys_mobile_app,bci-neuro,private/unknown,,0,
onegayunicorn,nextjs-mcp-starter,https://github.com/onegayunicorn/nextjs-mcp-starter,misc,public,TypeScript,0,
onegayunicorn,nexus-ai-app,https://github.com/onegayunicorn/nexus-ai-app,dashboard-ui,private/unknown,,0,
onegayunicorn,nexus-ai-mobile,https://github.com/onegayunicorn/nexus-ai-mobile,dashboard-ui,private/unknown,,0,
onegayunicorn,nexus-app-builder-packager,https://github.com/onegayunicorn/nexus-app-builder-packager,dashboard-ui,public,,0,
onegayunicorn,nexus-eternity,https://github.com/onegayunicorn/nexus-eternity,ai-chat-llm,private/unknown,,0,
onegayunicorn,NexusLM,https://github.com/onegayunicorn/NexusLM,ai-chat-llm,public,TypeScript,0,NexueLM podcast
onegayunicorn,nfc-escrow-bridge,https://github.com/onegayunicorn/nfc-escrow-bridge,escrow-payments,private/unknown,,0,
