t,schumann,coherence,entropy
137,-1.0963,0.7523,0.2477
138,-0.3904,0.7625,0.2375
139,0.7923,0.7636,0.2364
140,1.0101,0.7717,0.2283
141,0.1234,0.7729,0.2271
142,-1.0008,0.7753,0.2247
143,-0.9032,0.7704,0.2296
144,-0.0512,0.7786,0.2214
145,0.9343,0.7730,0.2270
146,0.7352,0.7644,0.2356
147,0.0078,0.7657,0.2343
148,-0.9517,0.7635,0.2365
149,-1.0388,0.7628,0.2372
150,-0.0100,0.7715,0.2285
151,0.9669,0.7637,0.2363
152,0.8092,0.7572,0.2428
153,0.0778,0.7629,0.2371
154,-1.0636,0.7620,0.2380
155,-0.9689,0.7546,0.2454
156,0.0993,0.7504,0.2496
157,0.8792,0.7581,0.2419
158,0.8298,0.7679,0.2321
159,-0.1601,0.7726,0.2274
160,-1.0218,0.7797,0.2203
161,-0.6789,0.7810,0.2190
162,0.2403,0.7752,0.2248
163,0.9750,0.7816,0.2184
164,0.7549,0.7831,0.2169
165,-0.2850,0.7840,0.2160
166,-0.8325,0.7839,0.2161
167,-0.5801,0.7840,0.2160
168,0.3565,0.7904,0.2096
169,0.9891,0.7967,0.2033
170,0.6019,0.8063,0.1937
171,-0.4149,0.8068,0.1932
172,-1.2057,0.8010,0.1990
173,-0.4882,0.8093,0.1907
174,0.4267,0.8175,0.1825
175,1.1748,0.8199,0.1801
176,0.5061,0.8098,0.1902
177,-0.5252,0.8118,0.1882
178,-0.9421,0.8048,0.1952
179,-0.2969,0.8040,0.1960
180,0.6150,0.8074,0.1926
181,1.0843,0.7983,0.2017
182,0.5074,0.8059,0.1941
183,-0.5768,0.8107,0.1893
184,-1.3100,0.8174,0.1826
185,-0.0901,0.8158,0.1842
186,0.6540,0.8211,0.1789
187,0.7799,0.8214,0.1786
188,0.2327,0.8229,0.1771
189,-0.6553,0.8292,0.1708
190,-1.0292,0.8257,0.1743
191,-0.2441,0.8299,0.1701
192,0.8283,0.8355,0.1645
193,0.8071,0.8354,0.1646
194,0.2746,0.8418,0.1582
195,-0.8718,0.8493,0.1507
196,-1.0002,0.8452,0.1548
197,-0.0274,0.8526,0.1474
198,0.8157,0.8489,0.1511
199,0.8052,0.8399,0.1601
200,-0.1345,0.8471,0.1529
201,-1.0568,0.8559,0.1441
202,-0.8099,0.8505,0.1495
203,0.1437,0.8415,0.1585
204,0.8529,0.8346,0.1654
205,0.7564,0.8292,0.1708
206,-0.0255,0.8344,0.1656
207,-0.8103,0.8405,0.1595
208,-1.1239,0.8476,0.1524
209,0.2079,0.8520,0.1480
210,0.9453,0.8571,0.1429
211,0.7298,0.8580,0.1420
212,-0.1098,0.8632,0.1368
213,-0.9761,0.8647,0.1353
214,-0.6569,0.8647,0.1353
215,0.3975,0.8718,0.1282
216,0.8271,0.8722,0.1278
217,0.7621,0.8678,0.1322
218,-0.5549,0.8575,0.1425
219,-0.9883,0.8512,0.1488
220,-0.5625,0.8482,0.1518
221,0.3872,0.8396,0.1604
222,1.0818,0.8309,0.1691
223,0.4199,0.8276,0.1724
224,-0.4262,0.8359,0.1641
225,-1.2541,0.8278,0.1722
226,-0.6586,0.8364,0.1636
227,0.5021,0.8376,0.1624
228,0.9309,0.8440,0.1560
229,0.4826,0.8474,0.1526
230,-0.4113,0.8412,0.1588
231,-0.8897,0.8466,0.1534
232,-0.2975,0.8389,0.1611
233,0.6573,0.8331,0.1669
234,1.0750,0.8354,0.1646
235,0.2837,0.8297,0.1703
236,-0.6958,0.8363,0.1637
237,-0.9116,0.8328,0.1672
238,-0.1455,0.8276,0.1724
239,0.5713,0.8302,0.1698
